ID_Cromo,Seleccion,Confederacion,Nombre_Jugador,Posicion
ESP_01,FIFA/Especial,FIFA,FIFA Logo,Especial
ESP_02,FIFA/Especial,FIFA,Trofeo Copa del Mundo,Especial
ESP_03,FIFA/Especial,FIFA,Mascota Oficial,Especial
ESP_04,FIFA/Especial,FIFA,Balón Oficial,Especial
ESP_05,FIFA/Especial,FIFA,Estadio Azteca (CDMX),Especial
ESP_06,FIFA/Especial,FIFA,Estadio BBVA (Monterrey),Especial
ESP_07,FIFA/Especial,FIFA,Estadio Akron (Guadalajara),Especial
ESP_08,FIFA/Especial,FIFA,MetLife Stadium (NY),Especial
ESP_09,FIFA/Especial,FIFA,SoFi Stadium (LA),Especial
ESP_10,FIFA/Especial,FIFA,Mercedes-Benz Stadium (Atlanta),Especial
ESP_11,FIFA/Especial,FIFA,Hard Rock Stadium (Miami),Especial
ESP_12,FIFA/Especial,FIFA,Lumen Field (Seattle),Especial
ESP_13,FIFA/Especial,FIFA,BC Place (Vancouver),Especial
ESP_14,FIFA/Especial,FIFA,BMO Field (Toronto),Especial
ESP_15,FIFA/Especial,FIFA,Póster Host City 1,Especial
ESP_16,FIFA/Especial,FIFA,Póster Host City 2,Especial
ESP_17,FIFA/Especial,FIFA,Póster Host City 3,Especial
ESP_18,FIFA/Especial,FIFA,Póster Host City 4,Especial
ESP_19,FIFA/Especial,FIFA,Fair Play Logo,Especial
ESP_20,FIFA/Especial,FIFA,FIFA Museum,Especial
MEX_01,México,CONCACAF,Escudo Selección,Especial
MEX_02,México,CONCACAF,Jugador 1,Jugador
MEX_03,México,CONCACAF,Jugador 2,Jugador
MEX_04,México,CONCACAF,Jugador 3,Jugador
MEX_05,México,CONCACAF,Jugador 4,Jugador
MEX_06,México,CONCACAF,Jugador 5,Jugador
MEX_07,México,CONCACAF,Jugador 6,Jugador
MEX_08,México,CONCACAF,Jugador 7,Jugador
MEX_09,México,CONCACAF,Jugador 8,Jugador
MEX_10,México,CONCACAF,Jugador 9,Jugador
MEX_11,México,CONCACAF,Jugador 10,Jugador
MEX_12,México,CONCACAF,Jugador 11,Jugador
MEX_13,México,CONCACAF,Jugador 12,Jugador
MEX_14,México,CONCACAF,Jugador 13,Jugador
MEX_15,México,CONCACAF,Jugador 14,Jugador
MEX_16,México,CONCACAF,Jugador 15,Jugador
MEX_17,México,CONCACAF,Jugador 16,Jugador
MEX_18,México,CONCACAF,Jugador 17,Jugador
MEX_19,México,CONCACAF,Jugador 18,Jugador
MEX_20,México,CONCACAF,Foto de Equipo,Especial
USA_01,Estados Unidos,CONCACAF,Escudo Selección,Especial
USA_02,Estados Unidos,CONCACAF,Jugador 1,Jugador
USA_03,Estados Unidos,CONCACAF,Jugador 2,Jugador
USA_04,Estados Unidos,CONCACAF,Jugador 3,Jugador
USA_05,Estados Unidos,CONCACAF,Jugador 4,Jugador
USA_06,Estados Unidos,CONCACAF,Jugador 5,Jugador
USA_07,Estados Unidos,CONCACAF,Jugador 6,Jugador
USA_08,Estados Unidos,CONCACAF,Jugador 7,Jugador
USA_09,Estados Unidos,CONCACAF,Jugador 8,Jugador
USA_10,Estados Unidos,CONCACAF,Jugador 9,Jugador
USA_11,Estados Unidos,CONCACAF,Jugador 10,Jugador
USA_12,Estados Unidos,CONCACAF,Jugador 11,Jugador
USA_13,Estados Unidos,CONCACAF,Jugador 12,Jugador
USA_14,Estados Unidos,CONCACAF,Jugador 13,Jugador
USA_15,Estados Unidos,CONCACAF,Jugador 14,Jugador
USA_16,Estados Unidos,CONCACAF,Jugador 15,Jugador
USA_17,Estados Unidos,CONCACAF,Jugador 16,Jugador
USA_18,Estados Unidos,CONCACAF,Jugador 17,Jugador
USA_19,Estados Unidos,CONCACAF,Jugador 18,Jugador
USA_20,Estados Unidos,CONCACAF,Foto de Equipo,Especial
CAN_01,Canadá,CONCACAF,Escudo Selección,Especial
CAN_02,Canadá,CONCACAF,Jugador 1,Jugador
CAN_03,Canadá,CONCACAF,Jugador 2,Jugador
CAN_04,Canadá,CONCACAF,Jugador 3,Jugador
CAN_05,Canadá,CONCACAF,Jugador 4,Jugador
CAN_06,Canadá,CONCACAF,Jugador 5,Jugador
CAN_07,Canadá,CONCACAF,Jugador 6,Jugador
CAN_08,Canadá,CONCACAF,Jugador 7,Jugador
CAN_09,Canadá,CONCACAF,Jugador 8,Jugador
CAN_10,Canadá,CONCACAF,Jugador 9,Jugador
CAN_11,Canadá,CONCACAF,Jugador 10,Jugador
CAN_12,Canadá,CONCACAF,Jugador 11,Jugador
CAN_13,Canadá,CONCACAF,Jugador 12,Jugador
CAN_14,Canadá,CONCACAF,Jugador 13,Jugador
CAN_15,Canadá,CONCACAF,Jugador 14,Jugador
CAN_16,Canadá,CONCACAF,Jugador 15,Jugador
CAN_17,Canadá,CONCACAF,Jugador 16,Jugador
